call_id,customer_id,call_date,carrier,country,call_category,predicted_category,confidence,actual_category,latency_ms,blocked,model_version
CALL-000001,CUST-005,2025-07-26,Driftwood Voice,United States,robocall,robocall,0.913,robocall,83,true,v3.1
CALL-000002,CUST-099,2025-09-11,Alder Telecom,Spain,spam,legitimate,0.555,spam,169,false,v3.2
CALL-000003,CUST-032,2025-03-28,Bluepeak Mobile,United States,fraud,fraud,0.926,fraud,95,true,v3.0
CALL-000004,CUST-033,2025-02-25,Alder Telecom,Ireland,legitimate,legitimate,0.801,legitimate,129,false,v3.0
CALL-000005,CUST-084,2025-07-22,Bluepeak Mobile,Germany,legitimate,legitimate,0.854,legitimate,149,false,v3.1
CALL-000006,CUST-002,2025-02-16,Alder Cloud,Canada,spam,spam,0.974,spam,82,true,v3.0
CALL-000007,CUST-015,2025-11-09,Nimbus Financial,France,legitimate,legitimate,0.812,legitimate,162,false,v3.2
CALL-000008,CUST-024,2025-05-31,Bluepeak Mobile,Ireland,spam,legitimate,0.538,spam,136,false,v3.1
CALL-000009,CUST-024,2025-12-13,Bluepeak Mobile,Ireland,legitimate,legitimate,0.879,legitimate,168,false,v3.2
CALL-000010,CUST-062,2025-07-16,Northstar Mobile,Canada,spam,spam,0.936,spam,81,true,v3.1
CALL-000011,CUST-082,2025-11-21,Bluepeak Mobile,United States,legitimate,legitimate,0.829,legitimate,83,false,v3.2
CALL-000012,CUST-078,2025-05-04,Bluepeak Mobile,Ireland,legitimate,legitimate,0.833,legitimate,137,false,v3.1
CALL-000013,CUST-088,2025-03-16,Bluepeak Mobile,Australia,legitimate,legitimate,0.844,legitimate,121,false,v3.0
CALL-000014,CUST-099,2025-01-13,Alder Telecom,Spain,robocall,robocall,0.948,robocall,100,true,v3.0
CALL-000015,CUST-073,2025-12-24,Alder Telecom,Australia,legitimate,legitimate,0.928,legitimate,128,false,v3.2
CALL-000016,CUST-008,2025-05-22,Granite Mobile,United States,legitimate,legitimate,0.81,legitimate,69,false,v3.1
CALL-000017,CUST-047,2025-02-13,Bluepeak Mobile,United States,legitimate,legitimate,0.946,legitimate,84,false,v3.0
