customer_id,usage_month,model_version,monthly_api_volume,uptime,explainability_queries,explanations_actioned,rules_configured,retention_risk
CUST-001,2025-01-01,v3.0,16607769,0.99858,5695,50,5,low
CUST-001,2025-02-01,v3.0,16301608,0.99868,5765,75,1,low
CUST-001,2025-03-01,v3.0,21697831,0.99883,6176,106,19,low
CUST-001,2025-04-01,v3.0,20489618,0.9992,6046,91,9,low
CUST-001,2025-05-01,v3.1,17259824,0.99934,4882,62,21,low
CUST-001,2025-06-01,v3.1,20022620,0.99983,5428,88,8,low
CUST-001,2025-07-01,v3.1,21600788,0.99953,6874,67,16,low
CUST-001,2025-08-01,v3.1,16960534,0.99922,5168,92,19,low
CUST-001,2025-09-01,v3.2,22964282,0.98413,7055,98,2,high
CUST-001,2025-10-01,v3.2,20413367,0.99064,7192,142,10,high
CUST-001,2025-11-01,v3.2,21960964,0.98932,5722,41,11,high
CUST-001,2025-12-01,v3.2,22313256,0.98341,7206,43,3,high
CUST-002,2025-01-01,v3.0,16137041,0.99892,4248,72,16,low
CUST-002,2025-02-01,v3.0,15988054,0.99918,5736,107,21,low
CUST-002,2025-03-01,v3.0,16477980,0.99914,4481,80,21,low
CUST-002,2025-04-01,v3.0,17912567,0.99911,6534,91,5,low
CUST-002,2025-05-01,v3.1,22021282,0.99991,6057,102,6,low
CUST-002,2025-06-01,v3.1,19706034,0.99896,7425,109,20,low
CUST-002,2025-07-01,v3.1,18962658,0.99946,6354,121,7,low
CUST-002,2025-08-01,v3.1,23074141,0.99882,7489,114,5,low
CUST-002,2025-09-01,v3.2,17110150,0.99944,5331,92,1,low
CUST-002,2025-10-01,v3.2,20035285,0.99962,7159,67,11,low
CUST-002,2025-11-01,v3.2,19916812,0.99916,7097,70,11,low
CUST-002,2025-12-01,v3.2,22180915,0.99973,7846,157,14,low
CUST-003,2025-01-01,v3.0,20818515,0.99972,7592,84,3,low
CUST-003,2025-02-01,v3.0,20267667,0.9989,5234,39,19,low
CUST-003,2025-03-01,v3.0,15476674,0.99867,4190,76,8,low
CUST-003,2025-04-01,v3.0,16979402,0.9997,4823,32,14,low
CUST-003,2025-05-01,v3.1,19714403,0.99898,6981,129,6,low
CUST-003,2025-06-01,v3.1,22373132,0.99939,6354,87,11,low
CUST-003,2025-07-01,v3.1,21468734,0.99929,6076,108,9,low
CUST-003,2025-08-01,v3.1,22698468,0.99217,6318,38,23,medium
CUST-003,2025-09-01,v3.2,22175397,0.99263,8104,56,7,medium
CUST-003,2025-10-01,v3.2,18077464,0.99309,5982,40,8,medium
CUST-003,2025-11-01,v3.2,17695967,0.99309,5419,81,17,medium
CUST-003,2025-12-01,v3.2,20260178,0.99592,7029,120,16,medium
CUST-004,2025-01-01,v3.0,19552353,0.99906,5604,67,14,low
CUST-004,2025-02-01,v3.0,18575358,0.99866,5476,73,16,low
CUST-004,2025-03-01,v3.0,15713429,0.99865,5116,58,19,low
CUST-004,2025-04-01,v3.0,19988015,0.99921,6366,116,7,low
CUST-004,2025-05-01,v3.1,21852678,0.99994,5626,78,10,low
CUST-004,2025-06-01,v3.1,22941930,0.99944,6064,65,22,low
CUST-004,2025-07-01,v3.1,19591671,0.99942,7006,136,2,low
CUST-004,2025-08-01,v3.1,21687510,0.99938,5909,58,21,low
CUST-004,2025-09-01,v3.2,21304891,0.99879,5874,87,8,low
CUST-004,2025-10-01,v3.2,23634040,0.9985,6285,124,3,low
CUST-004,2025-11-01,v3.2,24439569,0.99952,6678,104,16,low
CUST-004,2025-12-01,v3.2,21810893,0.99914,7880,101,3,low
CUST-005,2025-01-01,v3.0,14947408,0.9998,5720,56,6,low
CUST-005,2025-02-01,v3.0,15095868,0.99945,5185,63,10,low
CUST-005,2025-03-01,v3.0,15998994,0.99879,5679,50,4,low
CUST-005,2025-04-01,v3.0,19902679,0.99859,5247,101,15,low
CUST-005,2025-05-01,v3.1,21984539,0.99987,5911,113,22,low
CUST-005,2025-06-01,v3.1,22083606,0.99884,7616,124,20,low
CUST-005,2025-07-01,v3.1,18361187,0.99877,6295,84,5,low
CUST-005,2025-08-01,v3.1,20896799,0.99919,5959,36,5,low
CUST-005,2025-09-01,v3.2,22802592,0.99907,8405,138,12,low
CUST-005,2025-10-01,v3.2,20765994,0.99959,7319,160,13,low
CUST-005,2025-11-01,v3.2,17960829,0.99904,5914,40,9,low
CUST-005,2025-12-01,v3.2,18556650,0.99917,6931,56,4,low
CUST-006,2025-01-01,v3.0,17015676,0.99906,5386,111,20,low
CUST-006,2025-02-01,v3.0,16708032,0.99851,5512,51,21,low
CUST-006,2025-03-01,v3.0,20921572,0.99919,7763,90,15,low
CUST-006,2025-04-01,v3.0,15863415,0.99964,4230,75,22,low
CUST-006,2025-05-01,v3.1,15864336,0.99897,5150,72,2,low
CUST-006,2025-06-01,v3.1,21784377,0.99884,6406,65,14,low
CUST-006,2025-07-01,v3.1,19256809,0.99918,6967,150,1,low
CUST-006,2025-08-01,v3.1,21855939,0.99994,7681,94,18,low
CUST-006,2025-09-01,v3.2,22951186,0.99893,6183,116,22,low
CUST-006,2025-10-01,v3.2,19777403,0.99918,6613,111,15,low
CUST-006,2025-11-01,v3.2,20036906,0.99995,7195,64,7,low
CUST-006,2025-12-01,v3.2,23995615,0.99898,7185,148,5,low
CUST-007,2025-01-01,v3.0,17115635,0.99915,5030,35,21,low
CUST-007,2025-02-01,v3.0,15117637,0.99917,3941,66,5,low
CUST-007,2025-03-01,v3.0,20382832,0.99981,6118,122,20,low
CUST-007,2025-04-01,v3.0,18911289,0.99965,5315,110,20,low
CUST-007,2025-05-01,v3.1,19353001,0.99953,7140,137,20,low
CUST-007,2025-06-01,v3.1,21304911,0.99929,7864,103,6,low
CUST-007,2025-07-01,v3.1,22732801,0.99894,6561,82,14,low
CUST-007,2025-08-01,v3.1,17206917,0.99908,5058,66,20,low
