ticket_id,customer_id,customer_segment,complaint_type,severity,ticket_date,model_version,status,resolution_hours
TKT-00001,CUST-004,Tier 1 Carrier,false_positive,critical,2025-09-04,v3.2,resolved,26.2
TKT-00002,CUST-001,Tier 1 Carrier,false_positive,medium,2025-11-06,v3.2,closed,47.1
TKT-00003,CUST-001,Tier 1 Carrier,false_positive,medium,2025-10-04,v3.2,resolved,28.6
TKT-00004,CUST-024,Enterprise Bank,availability,medium,2025-01-30,v3.0,closed,48.7
TKT-00005,CUST-061,Mid-Market Contact Center,missed_spam,medium,2025-05-25,v3.1,resolved,52.2
TKT-00006,CUST-053,Enterprise Contact Center,integration,high,2025-05-18,v3.1,resolved,71.3
TKT-00007,CUST-079,Enterprise CPaaS,missed_spam,medium,2025-09-17,v3.2,resolved,114.2
TKT-00008,CUST-034,Mid-Market Bank,missed_spam,medium,2025-04-23,v3.0,open,101.4
TKT-00009,CUST-093,Growth CPaaS,missed_spam,medium,2025-05-05,v3.1,closed,104.9
TKT-00010,CUST-027,Enterprise Bank,missed_spam,high,2025-03-31,v3.0,resolved,79.9
TKT-00011,CUST-007,Tier 1 Carrier,false_positive,high,2025-02-24,v3.0,resolved,115.1
TKT-00012,CUST-001,Tier 1 Carrier,integration,medium,2025-11-18,v3.2,resolved,93.5
TKT-00013,CUST-008,Tier 1 Carrier,missed_spam,high,2025-09-13,v3.2,resolved,76.9
TKT-00014,CUST-045,Mid-Market Bank,availability,low,2025-07-25,v3.1,closed,27.9
TKT-00015,CUST-058,Enterprise Contact Center,missed_spam,high,2025-07-20,v3.1,closed,109.3
TKT-00016,CUST-003,Tier 1 Carrier,integration,low,2025-06-04,v3.1,open,82.1
TKT-00017,CUST-001,Tier 1 Carrier,false_positive,high,2025-11-30,v3.2,open,56.1
TKT-00018,CUST-069,Mid-Market Contact Center,integration,medium,2025-01-02,v3.0,open,13.3
TKT-00019,CUST-096,Growth CPaaS,availability,critical,2025-07-19,v3.1,resolved,77.3
TKT-00020,CUST-089,Growth CPaaS,integration,high,2025-01-01,v3.0,closed,37.5
TKT-00021,CUST-026,Enterprise Bank,false_positive,high,2025-04-04,v3.0,resolved,38.9
TKT-00022,CUST-035,Mid-Market Bank,missed_spam,medium,2025-07-04,v3.1,resolved,71.0
TKT-00023,CUST-076,Enterprise CPaaS,missed_spam,high,2025-05-23,v3.1,resolved,58.5
TKT-00024,CUST-001,Tier 1 Carrier,false_positive,high,2025-11-03,v3.2,resolved,6.7
TKT-00025,CUST-030,Enterprise Bank,integration,medium,2025-05-04,v3.1,resolved,68.5
TKT-00026,CUST-072,Mid-Market Contact Center,latency,medium,2025-01-10,v3.0,resolved,59.9
TKT-00027,CUST-041,Mid-Market Bank,billing,low,2025-02-27,v3.0,resolved,106.3
TKT-00028,CUST-001,Tier 1 Carrier,missed_spam,medium,2025-10-14,v3.2,resolved,100.7
TKT-00029,CUST-004,Tier 1 Carrier,false_positive,high,2025-12-27,v3.2,resolved,53.5
TKT-00030,CUST-083,Enterprise CPaaS,availability,medium,2025-03-08,v3.0,closed,88.7
TKT-00031,CUST-004,Tier 1 Carrier,false_positive,medium,2025-12-21,v3.2,closed,45.4
TKT-00032,CUST-094,Growth CPaaS,billing,low,2025-05-07,v3.1,closed,41.5
TKT-00033,CUST-003,Tier 1 Carrier,integration,medium,2025-08-13,v3.1,resolved,115.6
TKT-00034,CUST-007,Tier 1 Carrier,missed_spam,high,2025-08-09,v3.1,closed,52.2
TKT-00035,CUST-086,Enterprise CPaaS,missed_spam,medium,2025-03-26,v3.0,closed,59.8
TKT-00036,CUST-014,Regional Carrier,latency,medium,2025-05-01,v3.1,closed,23.5
TKT-00037,CUST-008,Tier 1 Carrier,missed_spam,medium,2025-11-20,v3.2,closed,41.9
TKT-00038,CUST-059,Mid-Market Contact Center,integration,medium,2025-01-29,v3.0,closed,119.2
TKT-00039,CUST-006,Tier 1 Carrier,false_positive,medium,2025-12-26,v3.2,resolved,14.8
TKT-00040,CUST-004,Tier 1 Carrier,false_positive,high,2025-10-26,v3.2,resolved,35.0
TKT-00041,CUST-001,Tier 1 Carrier,false_positive,high,2025-10-25,v3.2,open,4.3
